site_id,site_name,region_id,technology
SITE-001,Vodafone Salalah 1,6,2G
SITE-002,Vodafone Muscat 2,1,5G
SITE-003,Vodafone Sohar 3,3,2G
SITE-004,Vodafone Seeb 4,2,2G
SITE-005,Vodafone Salalah 5,6,2G
SITE-006,Vodafone Salalah 6,6,5G
SITE-007,Vodafone Sur 7,5,2G
SITE-008,Vodafone Sur 8,5,4G
SITE-009,Vodafone Muscat 9,1,2G
SITE-010,Vodafone Muscat 10,1,2G
SITE-011,Vodafone Seeb 11,2,5G
SITE-012,Vodafone Sur 12,5,2G
SITE-013,Vodafone Sur 13,5,2G
SITE-014,Vodafone Salalah 14,6,5G
SITE-015,Vodafone Salalah 15,6,5G
SITE-016,Vodafone Nizwa 16,4,2G
SITE-017,Vodafone Nizwa 17,4,5G
SITE-018,Vodafone Sohar 18,3,2G
SITE-019,Vodafone Seeb 19,2,5G
SITE-020,Vodafone Nizwa 20,4,4G
SITE-021,Vodafone Sohar 21,3,2G
SITE-022,Vodafone Seeb 22,2,4G
SITE-023,Vodafone Muscat 23,1,2G
SITE-024,Vodafone Nizwa 24,4,2G
SITE-025,Vodafone Sohar 25,3,4G
SITE-026,Vodafone Sur 26,5,4G
SITE-027,Vodafone Muscat 27,1,5G
SITE-028,Vodafone Nizwa 28,4,5G
SITE-029,Vodafone Muscat 29,1,4G
SITE-030,Vodafone Muscat 30,1,5G
SITE-031,Vodafone Sohar 31,3,5G
SITE-032,Vodafone Sur 32,5,4G
SITE-033,Vodafone Sur 33,5,2G
SITE-034,Vodafone Salalah 34,6,2G
SITE-035,Vodafone Muscat 35,1,5G
SITE-036,Vodafone Seeb 36,2,4G
SITE-037,Vodafone Muscat 37,1,2G
SITE-038,Vodafone Muscat 38,1,4G
SITE-039,Vodafone Sohar 39,3,4G
SITE-040,Vodafone Salalah 40,6,4G
SITE-041,Vodafone Seeb 41,2,4G
SITE-042,Vodafone Sohar 42,3,2G
SITE-043,Vodafone Salalah 43,6,4G
SITE-044,Vodafone Salalah 44,6,5G
SITE-045,Vodafone Salalah 45,6,2G
SITE-046,Vodafone Sur 46,5,5G
SITE-047,Vodafone Seeb 47,2,5G
SITE-048,Vodafone Salalah 48,6,2G
SITE-049,Vodafone Seeb 49,2,4G
SITE-050,Vodafone Nizwa 50,4,4G
SITE-051,Vodafone Salalah 51,6,5G
SITE-052,Vodafone Sur 52,5,2G
SITE-053,Vodafone Salalah 53,6,4G
SITE-054,Vodafone Muscat 54,1,2G
SITE-055,Vodafone Muscat 55,1,4G
SITE-056,Vodafone Nizwa 56,4,4G
SITE-057,Vodafone Muscat 57,1,2G
SITE-058,Vodafone Sur 58,5,5G
SITE-059,Vodafone Sohar 59,3,2G
SITE-060,Vodafone Salalah 60,6,4G
